Day,Time,Playlist Name,Song Name,Artist,Duration
Monday,9:00 – 10:30am,The Awakening,Gone Clear,William Tyler,6:08
Monday,9:00 – 10:30am,The Awakening,Threnody,Goldmund,4:41
Monday,9:00 – 10:30am,The Awakening,Space 1,Nala Sinephro,4:08
Monday,9:00 – 10:30am,The Awakening,First Light - Remastered 2004,"Harold Budd, Brian Eno",7:07
Monday,9:00 – 10:30am,The Awakening,Rose Petals,S. Carey,3:34
Monday,9:00 – 10:30am,The Awakening,Hijos Del Sol,Hermanos Gutiérrez,2:57
Monday,9:00 – 10:30am,The Awakening,Sunshowers,Yasmin Williams,4:15
Monday,9:00 – 10:30am,The Awakening,First Flight,Kaitlyn Aurelia Smith,4:38
Monday,9:00 – 10:30am,The Awakening,Rivers That You Cannot See,North Americans,3:55
Monday,9:00 – 10:30am,The Awakening,Kenaston,Chilly Gonzales,3:05
Monday,9:00 – 10:30am,The Awakening,Perpetuum Mobile,Penguin Cafe Orchestra,4:30
Monday,9:00 – 10:30am,The Awakening,Town & Country,Bibio,4:03
Monday,9:00 – 10:30am,The Awakening,Iguazu - 2024 Remaster,Gustavo Santaolalla,4:49
Monday,9:00 – 10:30am,The Awakening,Sweet Things,Mocky,3:06
Monday,9:00 – 10:30am,The Awakening,Salaman,"Toumani Diabaté, Ballaké Sissoko",6:14
Monday,9:00 – 10:30am,The Awakening,Night After Sidewalk,Kaki King,3:31
Monday,9:00 – 10:30am,The Awakening,Holocene,Vitamin String Quartet,5:34
Monday,9:00 – 10:30am,The Awakening,Settler,Balmorhea,6:39
Monday,9:00 – 10:30am,The Awakening,Glass,Hania Rani,4:31
Monday,9:00 – 10:30am,The Awakening,I'm Dragging a Dead Deer Up a Hill,Grouper,2:22
Monday,9:00 – 10:30am,The Awakening,"Requiem for Dying Mothers, Pt. 2",Stars Of The Lid,7:37
Monday,9:00 – 10:30am,The Awakening,The Piano Drop,Tim Hecker,2:54
Monday,10:30am – Noon,The Forest Path,Carrion Suite,Andrew Bird,9:40
Monday,10:30am – Noon,The Forest Path,Sun Rays Like Stilts,Tommy Guerrero,2:08
Monday,10:30am – Noon,The Forest Path,A Calf Born In Winter,Khruangbin,3:29
Monday,10:30am – Noon,The Forest Path,Two Thousand and Seventeen,Four Tet,4:12
Monday,10:30am – Noon,The Forest Path,Lionheart,Emancipator,4:53
Monday,10:30am – Noon,The Forest Path,A Walk,Tycho,5:17
Monday,10:30am – Noon,The Forest Path,Pacific Theme,Broken Social Scene,5:09
Monday,10:30am – Noon,The Forest Path,The Palm Sunday Tornado Hits Crystal Lake,Sufjan Stevens,1:39
Monday,10:30am – Noon,The Forest Path,Near Light,Ólafur Arnalds,3:29
Monday,10:30am – Noon,The Forest Path,Crosses,José González,2:43
Monday,10:30am – Noon,The Forest Path,Says,Nils Frahm,8:18
Monday,10:30am – Noon,The Forest Path,Looped,Kiasmos,6:01
Monday,10:30am – Noon,The Forest Path,Curious,Hauschka,3:31
Monday,10:30am – Noon,The Forest Path,On the Nature of Daylight,"Max Richter, Louisa Fuller, Natalia Bonner, John Metcalfe, Philip Sheppard, Chris Worsey",6:12
Monday,10:30am – Noon,The Forest Path,Indian Summer,"Jónsi, Alex Somers",9:01
Monday,10:30am – Noon,The Forest Path,re:member,Ólafur Arnalds,6:05
Monday,10:30am – Noon,The Forest Path,Parce Mihi Domine,"Jan Garbarek, Cristobal de Morales, The Hilliard Ensemble",6:42
Monday,10:30am – Noon,The Forest Path,All Melody,Nils Frahm,9:31
Monday,10:30am – Noon,The Forest Path,Yellow is the Colour,Bugge Wesseltoft,10:40
Monday,10:30am – Noon,The Forest Path,Flight from the City,"Jóhann Jóhannsson, Yuki Numata Resnick, Tarn Travers, Ben Russell, Clarice Jensen",6:31
Monday,10:30am – Noon,The Forest Path,Ligotage,Nils Petter Molvær,6:44
Monday,10:30am – Noon,The Forest Path,Elevation,Hildur Guðnadóttir,5:58
Monday,10:30am – Noon,The Forest Path,Halving The Compass,Helios,5:27
Monday,10:30am – Noon,The Forest Path,Seoul,amiina,6:57
Monday,10:30am – Noon,The Forest Path,Green Green Grass Of Tunnel,múm,4:51
Monday,Noon – 2:00pm,The Village Green,Misread,Kings of Convenience,3:08
Monday,Noon – 2:00pm,The Village Green,Mushaboom,Feist,3:45
Monday,Noon – 2:00pm,The Village Green,Rebel Rebel,Seu Jorge,2:45
